receipt_number,created_at,item_id,variant_id,sku,quantity,price,gross_total_money,cost,cost_total,line_note
1-1117,2023-03-28 11:43:58+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,10023,2,24150.0,48300.0,23000.0,46000.0,
1-1117,2023-03-28 11:43:58+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,2,22575.0,45150.0,22000.0,44000.0,
1-1117,2023-03-28 11:43:58+00:00,64e3ce49-c478-41c9-b31a-6e1c48aa54c3,cfe29ffd-9dd9-4be7-bb87-b2b24722d806,10027,5,2310.0,11550.0,2200.0,11000.0,
1-1117,2023-03-28 11:43:58+00:00,1036fbc1-7177-49ea-9473-93b876f008d8,b6d8f2a5-510f-4fde-a5ce-bcdd25138a28,10002,2,3000.0,6000.0,2700.22,5400.44,
1-1117,2023-03-28 11:43:58+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,1500.0,1500.0,4000.0,4000.0,
1-1116,2023-03-28 09:07:39+00:00,e89ad283-950a-4267-b5bb-e84ebe40d7b4,23423eec-bb9f-4e87-a649-8c0c35de3133,10070,1,33600.0,33600.0,32000.0,32000.0,
1-1116,2023-03-28 09:07:39+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,10023,1,24150.0,24150.0,23000.0,23000.0,
1-1116,2023-03-28 09:07:39+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,1,22575.0,22575.0,22000.0,22000.0,
1-1116,2023-03-28 09:07:39+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,1000.0,1000.0,4000.0,4000.0,
1-1115,2023-03-28 09:07:24+00:00,e89ad283-950a-4267-b5bb-e84ebe40d7b4,23423eec-bb9f-4e87-a649-8c0c35de3133,10070,1,33600.0,33600.0,32000.0,32000.0,
1-1115,2023-03-28 09:07:24+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,1,22575.0,22575.0,22000.0,22000.0,
1-1115,2023-03-28 09:07:24+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,10023,1,24150.0,24150.0,23000.0,23000.0,
1-1115,2023-03-28 09:07:24+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,1000.0,1000.0,4000.0,4000.0,
1-1114,2023-03-28 09:05:43+00:00,e89ad283-950a-4267-b5bb-e84ebe40d7b4,23423eec-bb9f-4e87-a649-8c0c35de3133,10070,1,33600.0,33600.0,32000.0,32000.0,
1-1114,2023-03-28 09:05:43+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,10023,1,24150.0,24150.0,23000.0,23000.0,
1-1114,2023-03-28 09:05:43+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,1,22575.0,22575.0,22000.0,22000.0,
1-1114,2023-03-28 09:05:43+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,1000.0,1000.0,4000.0,4000.0,
