receipt_number,created_at,item_id,variant_id,sku,quantity,price,gross_total_money,cost,cost_total,line_note
1-1125,2023-04-04 14:45:07+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,2,23000,46000,22000,44000,
1-1125,2023-04-04 14:45:07+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,10023,2,25000,50000,23000,46000,
1-1125,2023-04-04 14:45:07+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,1000,1000,4000,4000,
1-1126,2023-04-04 14:56:21+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,10023,2,25000,50000,23000,46000,
1-1126,2023-04-04 14:56:21+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,2,23000,46000,22000,44000,
1-1126,2023-04-04 14:56:21+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,10020,20,2650,53000,2503,50060,
1-1126,2023-04-04 14:56:21+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,1500,1500,4000,4000,
1-1127,2023-04-04 15:00:08+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,10020,20,2650,53000,2503,50060,
1-1127,2023-04-04 15:00:08+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,1500,1500,4000,4000,
1-1128,2023-04-05 14:40:38+00:00,0d3fb222-ae1f-4c53-b510-a75ea08e703b,123f8c58-9fca-4cd1-bd00-a736d53f1890,10062,1,3675,3675,0,0,
1-1128,2023-04-05 14:40:38+00:00,5db62978-5a79-4000-97ad-4b574bd4b6e5,6c5cc197-af41-4130-8e01-e007bf579999,10127,2,1600,3200,0,0,
1-1128,2023-04-05 14:40:38+00:00,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,10001,16,2067.19,33075.04,1968.75,31500,
1-1128,2023-04-05 14:40:38+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,3,22575,67725,22000,66000,
1-1128,2023-04-05 14:40:38+00:00,b3493bbf-1d3d-4961-92d9-003f07af4134,4ebad76c-f0dc-481f-beef-308627749299,10115,3,4025,12075,3830.45,11491.35,
1-1128,2023-04-05 14:40:38+00:00,5d7364c0-921b-4851-8c48-16cf845d9da8,e61fa6ce-18f2-4630-bc7b-6bfaf2d482d9,10052,3,1200,3600,0,0,
1-1128,2023-04-05 14:40:38+00:00,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,10048,1,2100,2100,3923.81,3923.81,0.5
1-1128,2023-04-05 14:40:38+00:00,7a0935be-4c5d-43ee-8664-843c7e67b53d,cce1a2d8-fe7d-4ddd-94f2-95720011c426,10148,1,1870,1870,0,0,
1-1128,2023-04-05 14:40:38+00:00,2a3167ea-fdc9-4820-a738-dd80b19710e7,37155175-9d2a-4231-b9e7-f81731975f3f,10080,1,4000,4000,8000,8000,0.5
1-1128,2023-04-05 14:40:38+00:00,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,1a463fa9-96fc-48e4-b4b5-ccd7e8f33c36,10067,2,840,1680,1385,2770,
1-1128,2023-04-05 14:40:38+00:00,5b7bfb84-0369-4a5e-9739-4ea25adf57af,c9633535-28cf-444b-836a-b7fc54cc78ef,10157,12,2400,28800,2270.43,27245.16,
1-1128,2023-04-05 14:40:38+00:00,624eed2e-e36e-408b-9601-186234d5441a,5cf11711-e5d9-44d4-8911-cdc00b382586,10122,15,466.67,7000.05,466.67,7000.05,
1-1128,2023-04-05 14:40:38+00:00,3e847adb-1cbb-482e-b810-25e1e9b88719,8a006afa-c760-40ea-b157-343e6fe99bdc,10043,4,1575,6300,0,0,
1-1128,2023-04-05 14:40:38+00:00,444b2894-c2c0-44a9-b407-1688ac4316e4,437e66ec-a000-407c-a602-97208ce0f01d,10040,5,1575,7875,0,0,
1-1128,2023-04-05 14:40:38+00:00,e729fa82-5d7d-4e0c-b41b-221a037d6349,c50f601f-51d1-4b31-a095-91e1236699ab,10041,4,336,1344,320,1280,
1-1128,2023-04-05 14:40:38+00:00,74e63c47-8708-4d85-ad6b-032ceced626d,5af27acf-9e6d-4426-9de6-1a02c0f5c94d,10038,4,2400,9600,0,0,
1-1128,2023-04-05 14:40:38+00:00,dc794069-20b5-4244-8896-b0f132b0b65d,595db0eb-64df-466e-aa05-88250a82c0a6,10178,4,1050,4200,0,0,
1-1128,2023-04-05 14:40:38+00:00,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,f9329a10-f9b8-4c45-8168-1cf0a34b407b,10029,1,3937.5,3937.5,0,0,0.5
1-1128,2023-04-05 14:40:38+00:00,408fc36d-a47d-4b1d-8761-0da59acb47d0,89ddcad8-8079-4f42-aef8-2aa41b95a5ad,10018,15,300,4500,855,12825,
1-1128,2023-04-05 14:40:38+00:00,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,10014,3,542.5,1627.5,516.67,1550.01,
1-1128,2023-04-05 14:40:38+00:00,b85d47ad-ff7f-4859-b151-52b2dbcd4739,f18b0748-b09d-4e1b-8db6-6c673b5a6e9d,10088,2,1200,2400,0,0,
1-1128,2023-04-05 14:40:38+00:00,9c6c7d05-e50d-486f-b94c-e4e575a542db,3067a4e6-35b1-40fe-850e-abbffcc4e7eb,10112,1,2100,2100,2000,2000,
1-1128,2023-04-05 14:40:38+00:00,157b85d4-7768-43a1-b4ba-7021e96d5ec0,5ecce3ac-25c6-41a1-bc51-8aac3eef2852,10086,3,275,825,247.77,743.31,
1-1128,2023-04-05 14:40:38+00:00,b5c390e1-3312-473f-aa8e-808076c0e4bb,9c262101-7373-4e26-9c56-3a3ae8026207,10106,1,525,525,800,800,0.5
1-1128,2023-04-05 14:40:38+00:00,72b97a66-120d-4375-9448-4e109d2062ce,c3ae137d-dcd7-451e-b06c-b9813cf6f82b,10188,3,850,2550,0,0,
1-1128,2023-04-05 14:40:38+00:00,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,10030,8,5000,40000,4750,38000,
